ID,Name,Stream_Nam,GEOGLOWSID
21017050,PITALITO 2,GUARAPAS,9018571
21017020,SAN AGUSTIN,NARANJOS,9018087
21017030,CASCADA SIMON BOLI,MAGDALENA,9018085
21017060,MAGDALENA LA,MAGDALENA,9018010
21017040,SALADO BLANCO,MAGDALENA,9017862
21037010,PTE GARCES,SUAZA,9018120
21027010,PERICONGO,MAGDALENA,9017664
26017060,PTE ARAGON,CAUCA,9017195
21047010,PTE BALSEADERO,MAGDALENA,9017138
21057110,TREBOL EL,BEDON,9017127
21057080,VILLALOSADA,LA PLATA,9017041
21057050,VEGA EL SALADO,LA PLATA,9016870
26017030,BOCATOMA-FLORIDA,CAUCA,9016588
21057030,PTE RICAURTE,PAEZ,9016565
21057060,PAICOL,PAEZ,9016523
21077020,PASO DEL COLEGIO,MAGDALENA,9016495
26017020,JULUMITO,CAUCA,9016588
26037030,PTE CARRETERA,HONDO,9016449
26027080,TOTORO,COFRE,9016482
26037010,REMOLINO,SUCIO,9016364
21107030,CASIL EL,NEIVA,9016302
26027200,PTE CARRETERA,PALACE,9016482
21107020,PTE MULAS,NEIVA,9016291
21087070,JARDIN EL HDA,YAGUARA,9016063
26027100,PTE CARRETERA,PIENDAMO,9016192
21087080,VENECIA HDA,YAGUARA,9016018
21057130,RIO CHIQUITO,NEGRO,9016272
21087050,BOCATOMA,IQUIRA,9016040
21087040,HIDROELECTRICA,PEDERNAL,9016017
21097120,ESPERANZA LA,MAGDALENA,9015841
21117100,PUEBLO NUEVO AUTOM,CEIBAS,9015505
21127010,PALERMO,TUNE,9015466
21117080,GUAYABO,CEIBAS,9015505
21097070,PTE SANTANDER AUTO,MAGDALENA,9015168
21127020,SOCORRO EL,BACHE,9015224
26057160,SUAREZ,CAUCA,9015504
26027210,PTE FERROCARRIL,QUINAMAYO,9015091
26027250,BUENOS AIRES,LA TETA,9015027
26047020,BOCATOMA,PALO,9014985
26027010,LA_BALSA,CAUCA,9014798
26057070,TABLANCA,CAUCA,9014798
22027020,GAITANIA,ATA,9014932
26057040,TIMBA,TIMBA,9014797
26027180,LA_BOLSA,CAUCA,9014527
21137030,PTE CARRETERA,AIPE,9014356
26057030,POTRERITO,JAMUNDI,9014397
21147050,PTE VENADO,VENADO,9014399
26057080,HORMIGUERO,CAUCA,9014346
21147030,CARRASPOSO,CABRERA,9014252
21147010,SAN ALFONSO,CABRERA,9014248
21147080,TRES ESQUINAS,CABRERA,9013995
21137050,ANGOSTURA,MAGDALENA,9013878
22017020,SARDINAS LAS,SALDANA,9013901
22057050,PTE LA HAMACA,QDA POLE,9014132
26067010,JUANCHITO,CAUCA,9013978
22017010,BOCAS,ANAMICHU,9013781
22057060,MURALLA LA,SALDANA,9013767
21137040,ANCHIQUE,ANCHIQUE,9013563
22047010,QUESO EL HDA,AMOYA,9013322
21167080,MORA LA,NEGRO,9013257
22067020,BRAZUELO DELICIAS,TETUAN,9013013
22057070,PTE COLACHE,SALDANA,9012999
21137010,PURIFICACION,MAGDALENA,9012910
21137020,PURIFICACION 1,CHENCHE,9012980
22057010,PIEDRAS DE COBRE,SALDANA,9012650
