ID,obs_ma_cluster,obs_fdc_cluster
21017020,13,9
21017030,10,5
21017040,6,13
21017050,6,3
21017060,2,5
21027010,5,3
21037010,0,7
21047010,6,3
21057030,7,4
21057050,0,5
21057060,8,5
21057080,6,13
21057110,7,1
21057130,0,3
21077020,1,11
21087040,4,0
21087050,3,11
21087070,9,0
21087080,0,0
21097070,0,9
21097120,8,15
21107020,0,7
21107030,14,6
21117080,4,5
21117100,2,1
21127010,12,8
21127020,12,1
21137010,2,11
21137020,5,11
21137030,14,7
21137040,6,3
21137050,5,13
21147010,14,11
21147030,3,2
21147050,9,1
21147080,12,1
21167050,11,11
21167060,6,5
21167080,13,13
21167090,3,5
21187030,8,15
21197010,0,1
21197030,11,11
21197110,0,12
21197150,0,1
21207960,6,12
21217070,1,9
21217120,0,3
21217180,1,0
21217200,2,8
21217270,12,5
21227010,14,15
21237010,2,7
21237020,6,5
21237040,0,0
21247050,2,1
21257070,6,15
21257090,1,11
21257100,1,2
21257120,11,1
22017010,6,13
22017020,11,13
22027020,2,11
22047010,0,0
22057010,0,11
22057050,12,5
22057060,12,12
22057070,4,7
22067010,0,1
22067020,0,3
22077030,14,3
22077050,0,9
22077060,8,3
23017040,8,3
23017060,12,11
23017090,7,11
23027060,12,7
23037010,14,5
23057140,0,11
23067020,14,11
23067040,6,0
23067050,6,2
23067060,6,9
23067070,8,11
23067080,9,5
23077020,6,9
23087160,6,5
23087180,1,1
23087190,6,12
23087200,4,1
23087210,4,3
23087260,10,9
23087660,12,11
23087670,3,13
23097030,6,11
23097040,14,11
23107020,14,11
23107030,14,11
23107040,6,7
23127010,3,2
23127020,3,11
23127050,12,11
23127060,11,3
23147020,8,0
23147040,0,12
23167010,8,11
23187280,14,0
23197130,11,6
23197290,11,1
23197370,11,3
23197690,10,3
23197700,8,0
23207040,12,12
23217030,0,5
24017150,0,3
24017570,8,1
24017580,4,13
24017590,2,1
24017600,12,0
24017610,4,15
24017620,1,13
24017640,9,1
24017740,4,11
24017830,5,14
24027010,14,3
24027030,11,6
24027040,6,2
24027050,6,9
24027060,0,5
24027070,0,11
24037030,0,5
24037040,1,7
24037080,2,11
24037090,2,0
24037120,0,1
24037130,14,8
24037190,8,7
24037290,12,2
24037360,2,2
24037370,6,11
24037380,6,11
24037390,2,9
24037410,14,1
24037490,15,11
24037510,10,7
24067020,4,13
25017010,9,11
25017020,2,5
25027020,1,2
25027050,0,5
25027120,14,11
25027200,14,2
25027270,4,3
25027330,4,5
25027360,6,11
25027410,6,13
25027490,14,13
25027530,13,3
25027640,3,13
25027680,6,3
25027910,0,9
25027930,6,11
26017020,0,7
26017030,14,7
26017060,1,3
26027010,12,0
26027080,0,3
26027100,8,11
26027180,2,1
26027200,0,5
26027210,12,11
26027250,14,1
26037010,0,9
26037030,9,11
26047020,5,0
26057030,3,1
26057040,8,2
26057070,8,5
26057080,5,3
26057160,6,11
26067010,14,9
26087050,1,11
26107060,2,1
26107070,7,13
26107110,2,13
26107130,2,2
26127010,4,7
26127040,2,11
26137110,12,14
26137230,4,3
26147080,5,3
26147130,7,11
26147140,12,11
26157020,6,1
26157100,3,5
26157190,8,1
26157200,6,7
26167060,6,11
26167070,6,3
26167090,5,12
26177010,6,15
26177030,14,1
26187040,4,9
26187110,8,1
26197010,12,13
26197030,1,1
26207030,0,15
26207080,5,0
26217010,5,0
26217050,0,5
26237020,0,1
26237040,0,1
26237050,14,3
26237100,0,11
26237110,11,3
26247010,3,9
26247020,11,15
26247030,11,15
26247050,12,9
27027060,6,1
27037010,1,15
27037020,1,11
27037030,12,15
28017050,8,0
28017080,0,1
28017110,12,5
28027050,0,5
28037030,11,1
28037060,11,14
28037130,4,11
28047010,5,15
28047040,0,13
28047050,0,5
29017010,6,13
29037020,11,15
29067010,6,11
29067050,5,3
29067120,5,4
29067130,2,9
29067150,12,3
