GeoglowsID,StationID,AssignedID,AssignmentReason
9000266,,,propagation
9000288,,,
9000289,,,
9000294,,,
9000296,,,
9000297,,,
9000300,,,
9000313,,,
9000315,,,
9000317,,,
9000327,,,
9000333,,,
9000334,,29037020.0,propagation
9000336,,,
9000338,,29037020.0,propagation
9000344,,,
9000345,,,
9000346,,,
9000347,,,
9000348,,,
9000351,,,
9000359,,29067010.0,propagation
9000364,,29067050.0,propagation
9000365,,29067010.0,propagation
9000366,,,
9000371,,,
9000374,,,
9000375,,,
9000376,,,
9000390,,,
9000391,,,
9000394,,29037020.0,propagation
9000395,,,
9000396,,29067010.0,propagation
9000399,,29037020.0,propagation
9000400,29067050.0,29067050.0,spatial
9000407,,,
9000411,,,
9000412,,,
9000413,,,
9000415,,,
9000416,,,
9000417,,,
9000425,,,
9000430,,,
9000432,,,
9000433,28017080.0,28017080.0,spatial
9000435,,,
9000437,,,
9000438,,,
9000442,,,
9000449,,,
9000454,,,
9000455,,,
9000464,,29067010.0,propagation
9000465,,,
9000468,,,
9000469,,28017080.0,propagation
9000473,,,
9000474,,,
9000477,,,
9000480,,,
9000481,,,
9000482,,,
9000484,,,
9000487,,28017080.0,propagation
9000488,,28017110.0,propagation
9000489,,,
9000490,28017110.0,28017110.0,spatial
9000494,,,
9000506,,,
9000508,29067010.0,29067010.0,spatial
9000526,,29067150.0,propagation
9000530,,,
9000533,,29037020.0,propagation
9000534,,28017110.0,propagation
9000535,,28017080.0,propagation
9000536,,,
9000543,,,
9000544,,,
9000545,29067150.0,29067150.0,spatial
9000545,29067130.0,29067130.0,spatial
9000546,,,
9000549,,,
9000552,,,
9000556,,28017080.0,propagation
9000557,,,
9000559,,,
9000573,,,
9000590,,29067120.0,propagation
9000594,,,
9000595,,29037020.0,propagation
9000605,,,
9000606,,,
9000611,,,
9000612,,29037020.0,propagation
9000613,,,
9000615,,,
9000616,,,
9000637,,,
9000639,29067120.0,29067120.0,spatial
9000640,,,
9000643,,29037020.0,propagation
9000649,,,
9000650,,,
9000651,,,
9000652,,,
9000655,,,
9000656,,,
9000657,,,
9000658,,,
9000667,,,
9000673,,,
9000675,,,
9000678,28017050.0,28017050.0,spatial
9000679,,,
9000687,,,
9000688,,,
9000690,,,
9000692,,,
9000693,,,
9000694,,,
9000695,,,
9000700,,,
9000709,,,
9000718,,,
9000724,,,
9000727,,,
9000731,,,
9000733,,29037020.0,propagation
9000735,,,
9000739,,,
9000743,28037030.0,28037030.0,spatial
9000746,,,
9000749,,,
9000750,,,
9000753,,28037030.0,propagation
9000754,,,
9000765,,,
9000766,,,
9000769,,,
9000770,,28037030.0,propagation
9000772,,28037030.0,propagation
9000774,,,
9000776,,,
9000777,,,
9000779,,,
9000788,,,
9000796,,29037020.0,propagation
9000809,,,
9000811,,28037030.0,propagation
9000817,,,
9000819,,,
9000820,,,
9000821,,,
9000826,,,
9000827,,29037020.0,propagation
9000828,,,
9000840,,,
9000841,,28037030.0,propagation
9000847,,,
9000855,28047010.0,28047010.0,spatial
9000856,28047040.0,28047040.0,spatial
9000859,,,
9000868,,,
9000872,,,
9000895,,,
9000896,29037020.0,29037020.0,spatial
9000909,,,
9000911,,28047010.0,propagation
9000913,,,
9000948,,,
9000949,,28037030.0,propagation
9000960,,29017010.0,propagation
9000963,,,
9000964,,29017010.0,propagation
9000970,,,
9000975,,,
9000976,,,
9000978,,,
9000999,,28037030.0,propagation
9001009,,,
9001010,,,
9001011,28037130.0,28037130.0,spatial
9001012,,,
9001022,,,
9001032,,,
9001033,,,
9001039,,29017010.0,propagation
9001040,,,
9001046,,29017010.0,propagation
9001047,,29017010.0,propagation
9001049,,,
9001055,,,
9001056,,,
9001064,,28047010.0,propagation
9001065,,,
9001089,,28037130.0,propagation
9001090,,,
9001120,,,
9001123,,,
9001124,,28037030.0,propagation
9001128,,,
9001129,,,
9001130,,,
9001133,,,
9001139,,,
9001140,,28037130.0,propagation
9001146,,28037030.0,propagation
9001153,,,
9001154,,29017010.0,propagation
9001155,,,
9001171,,,
9001176,,,
9001177,,,
9001182,,28037130.0,propagation
9001183,,28037030.0,propagation
9001186,,29017010.0,propagation
9001189,,,
9001199,,,
9001200,,,
9001202,,,
9001206,,,
9001207,,,
9001208,,,
9001209,,29017010.0,propagation
9001210,,,
9001213,,,
9001214,,28037030.0,propagation
9001215,,,
9001217,,,
9001218,,,
9001219,,,
9001222,,,
9001223,,28047010.0,propagation
9001224,,,
9001237,,,
9001239,,,
9001242,,29017010.0,propagation
9001243,,28047010.0,propagation
9001245,,,
9001246,,,
9001279,,,
9001280,28037060.0,28037060.0,spatial
9001281,,28037030.0,propagation
9001285,,,
9001286,,,
9001287,,,
9001290,,,
9001331,,,
9001332,,,
9001333,,,
9001336,28047050.0,28047050.0,spatial
9001353,29017010.0,29017010.0,spatial
9001358,,,
9001370,,,
9001371,,,
9001383,,,
9001387,,,
9001388,,,
9001390,,25027680.0,propagation
9001395,,,
9001396,,28037030.0,propagation
9001400,,,
9001417,,,
9001418,,25027680.0,propagation
9001419,,,
9001423,,,
9001424,,,
9001432,,,
9001433,,,
9001434,,,
9001456,,,
9001457,,,
9001458,,28047050.0,propagation
9001460,,25027680.0,propagation
9001461,,,
9001462,,,
9001465,,,
9001466,,,
9001467,,28037030.0,propagation
9001474,,28027050.0,propagation
9001489,,,
9001490,,28027050.0,propagation
9001494,,28047050.0,propagation
9001498,,,
9001503,,,
9001504,,28037030.0,propagation
9001505,,,
9001518,,,
9001519,,,
9001524,,,
9001525,,,
9001526,,,
9001529,,,
9001530,,,
9001539,,25027680.0,propagation
9001541,,,
9001556,,,
9001557,,,
9001569,28027050.0,28027050.0,spatial
9001579,,,
9001595,,,
9001602,,,
9001610,,,
9001618,,28047050.0,propagation
9001619,,,
9001627,,,
9001631,,,
9001632,,,
9001643,,,
9001653,,,
9001662,,,
9001663,,,
9001672,,,
9001681,,,
9001694,,,
9001696,,28047050.0,propagation
9001697,,,
9001706,,,
9001729,,,
9001731,,,
9001737,,,
9001738,,,
9001741,,,
9001742,,28047050.0,propagation
9001748,,,
9001754,,,
9001755,,,
9001765,,,
9001766,,,
9001769,,,
9001771,,,
9001774,,,
9001784,,,
9001787,,,
9001789,,,
9001791,,,
9001804,,,
9001805,,,
9001811,,,
9001826,,,
9001829,,,
9001831,,,
9001835,,,
9001837,,,
9001850,,25027680.0,propagation
9001858,,,
9001859,,,
9001877,,25027680.0,propagation
9001890,,,
9001893,,,
9001902,,,
9001903,,,
9001905,,,
9001915,,,
9001924,,,
9001926,,,
9001928,,,
9001936,,,
9001937,,,
9001941,,,
9001942,,,
9001947,,,
9001948,,,
9001957,,,
9001958,,,
9001959,,,
9001960,,,
9001961,,,
9001962,,,
9001967,,,
9001970,,,
9001997,,,
9001998,,,
9002013,,,
9002022,,,
9002033,,,
9002049,,,
9002054,,,
9002055,,,
9002056,,,
9002110,,,
9002113,,,
9002114,,,
9002119,,,
9002126,,,
9002131,,,
9002136,,,
9002137,,,
9002152,,,
9002156,,,
9002157,,,
9002167,,,
9002175,,,
9002176,,,
9002182,,,
9002184,,,
9002185,25027680.0,25027680.0,spatial
9002186,,,
9002187,,,
9002198,,,
9002203,,,
9002205,,,
9002206,,,
9002207,,,
9002220,,,
9002222,,,
9002230,,,
9002231,,,
9002233,,,
9002234,,,
9002238,,25027930.0,propagation
9002244,,,
9002250,25027690.0,25027690.0,spatial
9002255,,,
9002256,,,
9002268,,,
9002284,,,
9002285,,,
9002292,,,
9002293,,,
9002296,,,
9002301,,,
9002304,,,
9002305,,,
9002307,,,
9002321,,25027930.0,propagation
9002322,,25027690.0,propagation
9002323,,,
9002324,,,
9002358,,,
9002359,,,
9002362,,,
9002363,,,
9002367,,,
9002368,,,
9002375,,,
9002376,,,
9002378,,,
9002399,,,
9002405,,,
9002407,,25027930.0,propagation
9002415,,25027930.0,propagation
9002416,,,
9002424,,,
9002437,,,
9002440,,,
9002444,,,
9002459,,,
9002460,,,
9002476,,,
9002477,,,
9002484,,,
9002495,,,
9002496,,,
9002504,,,
9002516,,,
9002518,,,
9002521,,,
9002527,,,
9002528,,,
9002529,,,
9002565,25027020.0,25027020.0,spatial
9002567,,,
9002573,,,
9002574,,,
9002597,,,
9002605,25027930.0,25027930.0,spatial
9002605,25027530.0,25027530.0,spatial
9002606,,,
9002607,25027490.0,25027490.0,spatial
9002614,,,
9002617,,,
9002618,,,
9002623,,,
9002630,,,
9002631,,,
9002636,,,
9002637,,,
9002639,,,
9002650,,,
9002654,,25027020.0,propagation
9002660,,,
9002663,,25027020.0,propagation
9002664,,25027020.0,propagation
9002666,,,
9002669,25027360.0,25027360.0,spatial
9002670,,,
9002677,,,
9002684,,25027020.0,propagation
9002685,,,
9002686,,,
9002690,,,
9002704,,,
9002709,,,
9002715,,,
9002717,,,
9002718,,,
9002720,,25027020.0,propagation
9002745,,,
9002748,,,
9002753,,,
9002764,,25027020.0,propagation
9002765,,,
9002766,25027330.0,25027330.0,spatial
9002767,,,
9002771,,,
9002776,,,
