StationID,GeoglowsID,AssignedID,AssignmentReason
21017050,9018571,21017050,spatial
21017020,9018087,21017020,spatial
21017030,9018085,21017030,spatial
21017060,9018010,21017060,spatial
21017040,9017862,21017040,spatial
21037010,9018120,21037010,spatial
21027010,9017664,21027010,spatial
26017060,9017195,26017060,spatial
21047010,9017138,21047010,spatial
21057110,9017127,21057110,spatial
21057080,9017041,21057080,spatial
21057050,9016870,21057050,spatial
26017030,9016588,26017030,spatial
21057030,9016565,21057030,spatial
21057060,9016523,21057060,spatial
21077020,9016495,21077020,spatial
26017020,9016588,26017020,spatial
26037030,9016449,26037030,spatial
26027080,9016482,26027080,spatial
26037010,9016364,26037010,spatial
21107030,9016302,21107030,spatial
26027200,9016482,26027200,spatial
21107020,9016291,21107020,spatial
21087070,9016063,21087070,spatial
26027100,9016192,26027100,spatial
21087080,9016018,21087080,spatial
21057130,9016272,21057130,spatial
21087050,9016040,21087050,spatial
21087040,9016017,21087040,spatial
21097120,9015841,21097120,spatial
21117100,9015505,21117100,spatial
21127010,9015466,21127010,spatial
21117080,9015505,21117080,spatial
21097070,9015168,21097070,spatial
21127020,9015224,21127020,spatial
26057160,9015504,26057160,spatial
26027210,9015091,26027210,spatial
26027250,9015027,26027250,spatial
26047020,9014985,26047020,spatial
26027010,9014798,26027010,spatial
26057070,9014798,26057070,spatial
22027020,9014932,22027020,spatial
26057040,9014797,26057040,spatial
26027180,9014527,26027180,spatial
21137030,9014356,21137030,spatial
26057030,9014397,26057030,spatial
21147050,9014399,21147050,spatial
26057080,9014346,26057080,spatial
21147030,9014252,21147030,spatial
21147010,9014248,21147010,spatial
21147080,9013995,21147080,spatial
21137050,9013878,21137050,spatial
22017020,9013901,22017020,spatial
22057050,9014132,22057050,spatial
26067010,9013978,26067010,spatial
22017010,9013781,22017010,spatial
22057060,9013767,22057060,spatial
21137040,9013563,21137040,spatial
22047010,9013322,22047010,spatial
21167080,9013257,21167080,spatial
22067020,9013013,22067020,spatial
22057070,9012999,22057070,spatial
21137010,9012910,21137010,spatial
21137020,9012980,21137020,spatial
22057010,9012650,22057010,spatial
26087050,9012723,26087050,spatial
22067010,9012649,22067010,spatial
21167060,9012611,21167060,spatial
21167090,9012562,21167090,spatial
21197010,9012486,21197010,spatial
22077030,9012394,22077030,spatial
26107130,9012628,26107130,spatial
21167050,9012378,21167050,spatial
22077050,9012098,22077050,spatial
22077060,9012074,22077060,spatial
21197030,9012165,21197030,spatial
21197150,9011932,21197150,spatial
21187030,9012401,21187030,spatial
21217200,9011695,21217200,spatial
21217070,9011730,21217070,spatial
21237010,9011707,21237010,spatial
21197110,9011432,21197110,spatial
21217120,9011419,21217120,spatial
21217270,9011607,21217270,spatial
26107060,9011424,26107060,spatial
26127010,9011402,26127010,spatial
21207960,9011280,21207960,spatial
21217180,9011626,21217180,spatial
21227010,9011229,21227010,spatial
26107070,9011157,26107070,spatial
21237040,9010825,21237040,spatial
21247050,9010855,21247050,spatial
26127040,9010517,26127040,spatial
26137110,9010683,26137110,spatial
21257100,9010560,21257100,spatial
26107110,9010476,26107110,spatial
26157200,9010195,26157200,spatial
26137230,9010297,26137230,spatial
21257090,9010327,21257090,spatial
26177030,9010239,26177030,spatial
26157190,9010195,26157190,spatial
21257120,9010208,21257120,spatial
23067070,9009999,23067070,spatial
26147140,9010077,26147140,spatial
21257070,9009936,21257070,spatial
26147130,9010082,26147130,spatial
23067060,9009696,23067060,spatial
26157100,9009757,26157100,spatial
26157020,9009728,26157020,spatial
23067050,9009521,23067050,spatial
21237020,9009660,21237020,spatial
23017090,9009481,23017090,spatial
23017040,9009758,23017040,spatial
23017060,9009442,23017060,spatial
24017150,9009238,24017150,spatial
23067080,9009627,23067080,spatial
26167060,9009429,26167060,spatial
26167070,9009364,26167070,spatial
23027060,9009419,23027060,spatial
26147080,9009403,26147080,spatial
24017610,9009213,24017610,spatial
26167090,9009169,26167090,spatial
23067020,9008960,23067020,spatial
23037010,9009027,23037010,spatial
26177010,9009083,26177010,spatial
24037080,9008715,24037080,spatial
24037120,9008694,24037120,spatial
24017620,9008667,24017620,spatial
24017830,9008596,24017830,spatial
23127010,9008546,23127010,spatial
24037030,9008503,24037030,spatial
24017740,9008396,24017740,spatial
24037090,9008665,24037090,spatial
26197010,9008509,26197010,spatial
24037130,9008238,24037130,spatial
24037290,9008223,24037290,spatial
26187040,9008413,26187040,spatial
23057140,9008331,23057140,spatial
23067040,9008290,23067040,spatial
26187110,9008680,26187110,spatial
24037190,9008234,24037190,spatial
26207030,9008180,26207030,spatial
24017590,9007998,24017590,spatial
24017600,9008365,24017600,spatial
26197030,9008017,26197030,spatial
24037510,9007832,24037510,spatial
24037410,9007770,24037410,spatial
23087200,9007825,23087200,spatial
26207080,9007779,26207080,spatial
23087190,9007823,23087190,spatial
23077020,9007721,23077020,spatial
24017570,9007475,24017570,spatial
23087260,9007415,23087260,spatial
23087660,9007382,23087660,spatial
23087670,9007356,23087670,spatial
24027030,9007442,24027030,spatial
24017580,9007432,24017580,spatial
23097040,9007292,23097040,spatial
24027050,9007182,24027050,spatial
23127060,9007238,23127060,spatial
23087210,9007255,23087210,spatial
24037370,9007025,24037370,spatial
23087180,9006988,23087180,spatial
24037490,9006848,24037490,spatial
24027070,9007134,24027070,spatial
24037380,9006838,24037380,spatial
24037040,9006838,24037040,spatial
24017640,9006851,24017640,spatial
24027060,9006858,24027060,spatial
26217050,9006926,26217050,spatial
24037390,9006835,24037390,spatial
23097030,9006790,23097030,spatial
26237020,9006831,26237020,spatial
24027040,9006779,24027040,spatial
23127020,9006893,23127020,spatial
23087160,9006931,23087160,spatial
24027010,9006771,24027010,spatial
26217010,9006721,26217010,spatial
23127050,9006586,23127050,spatial
23107030,9006507,23107030,spatial
26237100,9006698,26237100,spatial
23107020,9006475,23107020,spatial
24037360,9006346,24037360,spatial
