HydroID,NextDownID,DrainID,COMID,Shape_Leng,Tot_Drain_,LENGTH_GEO,Musk_kfac,Musk_k,Musk_x,order_,Aera_km2,Shape_Le_1
9000266,-1,307,9000266,926.952844,7347567767,0.90708553,3265.50791,1142.92777,0.3,4,277383.994,926.949733
9000288,9000297,315,9000288,689.976392,104518992,0.67399567,2426.38442,849.234545,0.3,1,277383.994,689.976392
9000289,9000297,316,9000289,595.837428,72297551.6,0.58318275,2099.45789,734.810262,0.3,1,277383.994,595.837428
9000294,9000315,112,9000294,4053.79289,91585438.1,3.9563528,14242.8701,4985.00452,0.3,1,277383.994,4053.79289
9000296,9000266,320,9000296,9855.46831,2148774163,9.63434401,34683.6384,12139.2735,0.3,3,277383.994,9855.46831
9000297,9000296,318,9000297,979.976412,190515578,0.95977508,3455.19028,1209.3166,0.3,2,277383.994,979.976412
9000300,9000266,321,9000300,10157.9439,5195760441,9.94110405,35787.9746,12525.7911,0.3,4,277383.994,10157.9439
9000313,9000300,325,9000313,2912.89872,5030792546,2.85119359,10264.2969,3592.50392,0.3,4,277383.994,2912.89872
9000315,9000308,113,9000315,4990.28963,200490016,4.88080926,17570.9133,6149.81967,0.3,2,277383.994,4924.08705
9000317,9000315,116,9000317,5272.43826,96416014.2,5.15814944,18569.338,6499.26829,0.3,1,277383.994,5272.43826
9000327,9000296,328,9000327,6395.34691,1863385265,6.25595622,22521.4424,7882.50484,0.3,3,277383.994,6395.34691
9000333,9000334,118,9000333,384.126995,70640042.1,0.3766334,1355.88025,474.558087,0.3,1,277383.994,384.126995
9000334,9000308,119,9000334,4705.97518,2.64E+11,4.60157203,16565.6593,5797.98076,0.3,6,277383.994,4658.73848
9000336,9000327,311,9000336,49953.1045,406175684,48.9282361,176141.65,61649.5775,0.3,1,277383.994,46.384
9000338,9000334,120,9000338,1454.84277,2.64E+11,1.42010244,5112.36878,1789.32907,0.3,6,277383.994,1454.84277
9000344,9000345,117,9000344,5587.1513,158333117,5.46987728,19691.5582,6892.04537,0.3,1,277383.994,5587.1513
9000345,9000313,122,9000345,8038.26038,4870921713,7.86858977,28326.9232,9914.42311,0.3,4,277383.994,8038.26038
9000346,9000433,329,9000346,1688.69235,73937587.8,1.65264338,5949.51617,2082.33066,0.3,1,277383.994,1688.69235
9000347,9000433,326,9000347,7829.03668,103358606,7.66153116,27581.5122,9653.52926,0.3,1,277383.994,7829.03668
9000348,9000345,123,9000348,94.4551,4668737916,0.09217809,331.841121,116.144392,0.3,4,277383.994,47.2277
9000351,9000300,334,9000351,8303.66353,87471708.7,8.10301452,29170.8523,10209.7983,0.3,1,277383.994,8303.66353
9000359,9000327,336,9000359,6824.03283,1421436001,6.67100575,24015.6207,8405.46724,0.3,3,277383.994,6824.03283
9000364,9000359,338,9000364,661.1319,500018432,0.64524522,2322.88278,813.008973,0.3,2,277383.994,661.1319
9000365,9000359,339,9000365,1588.61898,866645275,1.55541385,5599.48987,1959.82145,0.3,2,277383.994,1588.61898
9000366,9000364,340,9000366,9267.65816,154359950,9.09091978,32727.3112,11454.5589,0.3,1,277383.994,9267.65816
9000371,9000390,115,9000371,13434.3099,168585142,13.1380109,47296.8394,16553.8938,0.3,1,277383.994,13434.3099
9000374,9000390,126,9000374,6995.72605,135930476,6.85063327,24662.2798,8631.79792,0.3,1,277383.994,6995.72605
9000375,9000365,342,9000375,4952.7519,96899009.6,4.85459933,17476.5576,6116.79516,0.3,1,277383.994,4952.7519
9000376,9000338,127,9000376,10698.5064,166103076,10.4630387,37666.9395,13183.4288,0.3,1,277383.994,10698.5064
9000390,9000391,125,9000390,7288.61506,374574073,7.13873005,25699.4282,8994.79986,0.3,2,277383.994,7288.61506
9000391,9000348,128,9000391,14185.6208,820711818,13.8865551,49991.5983,17497.0594,0.3,3,277383.994,14139.2385
9000394,9000338,129,9000394,12299.3365,2.64E+11,12.0118579,43242.6884,15134.941,0.3,6,277383.994,12299.3365
9000395,9000394,130,9000395,510.07249,364995913,0.49834132,1794.02876,627.910066,0.3,2,277383.994,510.07249
9000396,9000365,348,9000396,9928.43228,756375986,9.71357817,34968.8814,12239.1085,0.3,2,277383.994,9928.43228
9000399,9000394,131,9000399,1076.61828,2.64E+11,1.05140694,3785.06497,1324.77274,0.3,6,277383.994,1076.61828
9000400,9000364,337,9000400,45794.1508,345360594,44.8662239,161518.406,56531.4421,0.3,1,277383.994,45794.1508
9000407,9000396,351,9000407,5730.52577,105011399,5.61485129,20213.4647,7074.71263,0.3,1,277383.994,5730.52577
9000411,9000399,134,9000411,1822.68028,147337135,1.78019587,6408.70513,2243.0468,0.3,1,277383.994,1822.68028
9000412,9000508,343,9000412,6443.57527,86078778.4,6.30380023,22693.6808,7942.78829,0.3,1,277383.994,6443.57527
9000413,9000508,341,9000413,17377.9572,182724836,17.0320877,61315.5158,21460.4305,0.3,1,277383.994,17377.9572
9000415,9000313,354,9000415,22577.6742,136714607,22.0608473,79419.0504,27796.6676,0.3,1,277383.994,22577.6742
9000416,9000438,347,9000416,3897.6512,112359156,3.81381613,13729.7381,4805.40833,0.3,1,277383.994,3897.6512
9000417,9000438,331,9000417,30508.9567,244928192,29.8699377,107531.776,37636.1215,0.3,1,277383.994,30508.9567
9000425,9000348,136,9000425,15337.1125,3847999811,14.9731888,53903.4796,18866.2179,0.3,3,277383.994,15289.8849
9000430,9000395,132,9000430,32736.5948,276043523,32.0709948,115455.581,40409.4535,0.3,1,277383.994,32736.5948
9000432,9000469,356,9000432,4818.50101,87711889.9,4.71693411,16980.9628,5943.33698,0.3,1,277383.994,4818.50101
9000433,9000469,333,9000433,29906.6267,271871878,29.2823486,105416.455,36895.7592,0.3,2,277383.994,29906.6267
9000435,9000391,137,9000435,10953.1255,378978505,10.7167056,38580.14,13503.049,0.3,2,277383.994,10953.1255
9000437,9000490,335,9000437,33067.3863,290826088,32.3969252,116628.931,40820.1258,0.3,1,277383.994,33067.3863
9000438,9000490,355,9000438,5440.86504,383072598,5.32263525,19161.4869,6706.52041,0.3,2,277383.994,5440.86504
9000442,9000435,139,9000442,1257.37421,123879644,1.23163101,4433.87165,1551.85508,0.3,1,277383.994,1257.37421
9000449,9000477,352,9000449,11343.6707,103697494,11.113305,40007.898,14002.7643,0.3,1,277383.994,11343.6707
9000454,9000545,350,9000454,14443.0428,136791373,14.1495659,50938.4373,17828.453,0.3,1,277383.994,14443.0428
9000455,9000477,357,9000455,18056.3274,258354978,17.7117404,63762.2653,22316.7929,0.3,1,277383.994,18056.3274
9000464,9000396,363,9000464,13136.9702,629087640,12.8533872,46272.1941,16195.2679,0.3,2,277383.994,13136.9702
9000465,9000536,345,9000465,16371.9717,161990438,16.0183341,57666.0029,20183.101,0.3,1,277383.994,16371.9717
9000468,9000464,366,9000468,557.132006,70375712.3,0.54444709,1960.00952,686.003334,0.3,1,277383.994,557.132006
9000469,9000487,358,9000469,5664.88914,372238336,5.54562131,19964.2367,6987.48285,0.3,2,277383.994,5664.88914
9000473,9000435,142,9000473,12828.52,141148312,12.5807284,45290.6223,15851.7178,0.3,1,277383.994,12828.52
9000474,9000536,364,9000474,9095.45074,148029940,8.92013867,32112.4992,11239.3747,0.3,1,277383.994,9095.45074
9000477,9000545,360,9000477,13178.5688,397543637,12.9119342,46482.963,16269.037,0.3,2,277383.994,13178.5688
9000480,9000425,145,9000480,7967.73557,2979612022,7.78034805,28009.253,9803.23854,0.3,3,277383.994,7967.73557
9000481,9000480,144,9000481,701.928992,71433330.2,0.68885331,2479.87193,867.955175,0.3,1,277383.994,701.928992
9000482,9000395,143,9000482,17607.9609,88803478.4,17.2232037,62003.5334,21701.2367,0.3,1,277383.994,17607.9609
9000484,9000488,368,9000484,2068.84327,83931509.5,2.02383859,7285.81893,2550.03663,0.3,1,277383.994,2068.84327
9000487,9000535,367,9000487,5443.26039,681301891,5.33322117,19199.5962,6719.85867,0.3,2,277383.994,5443.26039
9000488,9000534,369,9000488,1989.64413,885658960,1.95108484,7023.90542,2458.3669,0.3,2,277383.994,1989.64413
9000489,9000534,346,9000489,29292.0657,192627249,28.6817085,103254.151,36138.9527,0.3,1,277383.994,29292.0657
9000490,9000488,359,9000490,25792.3201,800125113,25.2952492,91062.8971,31872.014,0.3,2,277383.994,25792.3201
9000494,9000487,372,9000494,28250.4437,256654418,27.6738946,99626.0204,34869.1071,0.3,1,277383.994,28250.4437
9000506,9000480,146,9000506,10992.0005,2903677673,10.7869956,38833.1841,13591.6144,0.3,3,277383.994,10992.0005
9000508,9000464,353,9000508,47262.8442,484953780,46.3189989,166748.396,58361.9386,0.3,2,277383.994,47262.8442
