GeoglowsID,Order,Drainage,StationID,AssignedID,AssignmentReason
9000266,4,7347567767.45,,,
9000288,1,104518991.936,,,
9000289,1,72297551.5974,,,
9000294,1,91585438.0594,,,
9000296,3,2148774162.76,,,
9000297,2,190515577.93299997,,,
9000300,4,5195760441.04,,,
9000313,4,5030792545.7,,,
9000315,2,200490016.194,,,
9000317,1,96416014.2099,,,
9000327,3,1863385265.3,,,
9000333,1,70640042.1026,,,
9000334,6,264303840305.0,,,
9000336,1,406175684.019,,,
9000338,6,264209943682.0,,,
9000344,1,158333116.647,,,
9000345,4,4870921712.920001,,,
9000346,1,73937587.8023,,,
9000347,1,103358605.694,,,
9000348,4,4668737915.7,,,
9000351,1,87471708.6556,,,
9000359,3,1421436000.88,,,
9000364,2,500018432.265,,,
9000365,2,866645275.1950002,,,
9000366,1,154359950.40499997,,,
9000371,1,168585141.51299998,,,
9000374,1,135930475.73,,,
9000375,1,96899009.6074,,,
9000376,1,166103076.34300002,,,
9000390,2,374574073.408,,,
9000391,3,820711818.0649998,,,
9000394,6,264041851559.99997,,,
9000395,2,364995913.382,,,
9000396,2,756375985.988,,,
9000399,6,263635706444.99994,,,
9000400,1,345360593.708,29067050.0,29067050.0,spatial
9000407,1,105011399.106,,,
9000411,1,147337135.367,,,
9000412,1,86078778.4483,,,
9000413,1,182724836.433,,,
9000415,1,136714606.66300002,,,
9000416,1,112359156.441,,,
9000417,1,244928191.537,,,
9000425,3,3847999810.96,,,
9000430,1,276043522.995,,,
9000432,1,87711889.899,,,
9000433,2,271871878.25400007,28017080.0,28017080.0,spatial
9000435,2,378978505.33,,,
9000437,1,290826087.847,,,
9000438,2,383072598.2569999,,,
9000442,1,123879643.79,,,
9000449,1,103697493.554,,,
9000454,1,136791372.674,,,
9000455,1,258354977.843,,,
9000464,2,629087639.68,,,
9000465,1,161990437.654,,,
9000468,1,70375712.3446,,,
9000469,2,372238336.1399999,,,
9000473,1,141148311.60899997,,,
9000474,1,148029939.967,,,
9000477,2,397543637.313,,,
9000480,3,2979612022.14,,,
9000481,1,71433330.1853,,,
9000482,1,88803478.3616,,,
9000484,1,83931509.46310002,,,
9000487,2,681301891.497,,,
9000488,2,885658959.541,,,
9000489,1,192627249.18,,,
9000490,2,800125112.694,28017110.0,28017110.0,spatial
9000494,1,256654418.48600003,,,
9000506,3,2903677673.48,,,
9000508,2,484953779.642,29067010.0,29067010.0,spatial
9000526,3,2355283323.45,,,
9000530,2,764706377.486,,,
9000533,6,263485181681.0,,,
9000534,2,1097451897.43,,,
9000535,2,920889878.6910001,,,
9000536,2,417236767.333,,,
9000543,2,451586346.7369999,,,
9000544,3,1473454296.8899996,,,
9000545,2,825645070.0460001,29067150.0,29067150.0,spatial
9000545,2,825645070.0460001,29067130.0,29067130.0,spatial
9000546,1,70861385.6468,,,
9000549,1,136967123.061,,,
9000552,1,95014452.5689,,,
9000556,3,2032961330.55,,,
9000557,1,187848142.308,,,
9000559,1,77506083.28070001,,,
9000573,1,161165763.218,,,
9000590,3,1397646607.86,,,
9000594,1,105345049.67499998,,,
9000595,6,262961154823.99997,,,
9000605,1,87171397.2028,,,
9000606,2,244401402.608,,,
9000611,1,73126595.0992,,,
9000612,6,262832675234.00003,,,
9000613,3,2200263687.9200006,,,
9000615,1,120142082.072,,,
9000616,1,167658732.05299997,,,
9000637,1,105330993.26699997,,,
9000639,2,1083652460.81,29067120.0,29067120.0,spatial
9000640,1,238897570.319,,,
9000643,6,262718893311.0,,,
9000649,1,217947920.404,,,
9000650,3,2329920413.2,,,
9000651,2,740191542.842,,,
9000652,1,81887381.05849999,,,
9000655,1,110062456.88399997,,,
9000656,2,458316401.116,,,
9000657,1,114116192.242,,,
9000658,3,2626880742.06,,,
9000667,2,432544176.85,,,
9000673,2,221407946.007,,,
9000675,2,285494188.77799994,,,
9000678,2,721346678.3070002,28017050.0,28017050.0,spatial
9000679,3,2762374555.07,,,
9000687,1,78872164.6624,,,
9000688,1,146247412.92700002,,,
9000690,1,138055490.89699998,,,
9000692,1,186722640.752,,,
9000693,1,111686839.545,,,
9000694,1,91432535.3226,,,
9000695,1,128781968.162,,,
9000700,2,654567311.997,,,
9000709,1,96156818.6982,,,
9000718,1,165693710.44300002,,,
9000724,1,106070216.25300002,,,
9000727,1,76988962.37230001,,,
9000731,2,548535184.471,,,
9000733,6,262556404033.0,,,
9000735,1,83855038.0126,,,
9000739,1,130849924.926,,,
9000743,3,3554683915.399999,28037030.0,28037030.0,spatial
9000746,2,304143564.629,,,
9000749,1,90648622.8444,,,
9000750,1,103350880.217,,,
9000753,3,3902629110.05,,,
9000754,1,135447681.05299997,,,
9000765,1,77319091.6226,,,
9000766,1,89358960.273,,,
9000769,1,110087956.447,,,
9000770,3,4149611856.89,,,
9000772,3,4259717309.2899995,,,
9000774,1,241872967.776,,,
9000776,1,87966791.51009999,,,
9000777,1,177169288.235,,,
9000779,2,209973518.78,,,
9000788,1,231192662.356,,,
9000796,6,262363973902.00006,,,
9000809,1,140218360.853,,,
9000811,3,4516445139.710001,,,
9000817,2,251232181.888,,,
9000819,1,81907882.0792,,,
9000820,2,339232456.801,,,
9000821,1,130986811.65500002,,,
9000826,2,475476845.878,,,
9000827,6,262069063113.99997,,,
9000828,1,75936334.23849998,,,
9000840,1,140860754.85900003,,,
9000841,3,4598582796.72,,,
9000847,2,722522390.741,,,
9000855,2,767335593.445,28047010.0,28047010.0,spatial
9000856,1,187516277.758,28047040.0,28047040.0,spatial
9000859,1,129249346.654,,,
9000868,1,173815894.04,,,
9000872,1,161926374.878,,,
9000895,1,86134810.72169998,,,
9000896,6,261579626520.99997,29037020.0,29037020.0,spatial
9000909,1,347655477.37799996,,,
9000911,2,1006815430.56,,,
9000913,1,87457180.80569999,,,
9000948,2,342941005.332,,,
9000949,3,5014412356.659999,,,
9000960,6,261460883839.0,,,
9000963,1,89981093.5014,,,
9000964,6,261249117085.0,,,
9000970,1,174541571.28499997,,,
9000975,2,965593897.305,,,
9000976,1,271382143.813,,,
9000978,1,109425757.966,,,
9000999,3,5380556135.47,,,
9001009,2,1282536820.66,,,
9001010,1,148877877.0,,,
9001011,2,292795484.632,28037130.0,28037130.0,spatial
9001012,1,78706457.7118,,,
9001022,1,297425381.625,,,
9001032,1,75502361.0958,,,
9001033,1,217641520.133,,,
9001039,6,261129227067.00006,,,
9001040,1,79282025.0148,,,
9001046,6,261034682455.00003,,,
9001047,6,260933525589.0,,,
9001049,1,175377943.467,,,
9001055,2,447956968.6510001,,,
9001056,1,147133681.164,,,
9001064,2,1200332937.85,,,
9001065,1,77878669.3838,,,
9001089,2,390732265.366,,,
9001090,1,262639672.244,,,
