GeoglowsID,Order,StationID,AssignedID,AssignmentReason
9000266,4,,,
9000288,1,,,
9000289,1,,,
9000294,1,,,
9000296,3,,,
9000297,2,,,
9000300,4,,,
9000313,4,,,
9000315,2,,,
9000317,1,,,
9000327,3,,,
9000333,1,,,
9000334,6,,,
9000336,1,,,
9000338,6,,,
9000344,1,,,
9000345,4,,,
9000346,1,,,
9000347,1,,,
9000348,4,,,
9000351,1,,,
9000359,3,,,
9000364,2,,29067050.0,Propagation-2
9000365,2,,29067010.0,Propagation-4
9000366,1,,,
9000371,1,,,
9000374,1,,,
9000375,1,,,
9000376,1,,,
9000390,2,,,
9000391,3,,,
9000394,6,,,
9000395,2,,,
9000396,2,,29067010.0,Propagation-3
9000399,6,,,
9000400,1,29067050.0,29067050.0,spatial
9000407,1,,,
9000411,1,,,
9000412,1,,,
9000413,1,,,
9000415,1,,,
9000416,1,,,
9000417,1,,,
9000425,3,,,
9000430,1,,,
9000432,1,,,
9000433,2,28017080.0,28017080.0,spatial
9000435,2,,,
9000437,1,,,
9000438,2,,28017110.0,Propagation-2
9000442,1,,,
9000449,1,,,
9000454,1,,,
9000455,1,,,
9000464,2,,29067010.0,Propagation-2
9000465,1,,,
9000468,1,,,
9000469,2,,28017080.0,Propagation-2
9000473,1,,,
9000474,1,,,
9000477,2,,29067150.0,Propagation-2
9000480,3,,,
9000481,1,,,
9000482,1,,,
9000484,1,,,
9000487,2,,28017080.0,Propagation-3
9000488,2,,28017110.0,Propagation-2
9000489,1,,,
9000490,2,28017110.0,28017110.0,spatial
9000494,1,,,
9000506,3,,,
9000508,2,29067010.0,29067010.0,spatial
9000526,3,,29067150.0,Propagation-2
9000530,2,,,
9000533,6,,,
9000534,2,,28017110.0,Propagation-3
9000535,2,,28017080.0,Propagation-4
9000536,2,,28017050.0,Propagation-1
9000543,2,,,
9000544,3,,,
9000545,2,29067150.0,29067150.0,spatial
9000545,2,29067130.0,29067130.0,spatial
9000546,1,,,
9000549,1,,,
9000552,1,,,
9000556,3,,28017110.0,Propagation-4
9000557,1,,,
9000559,1,,,
9000573,1,,,
9000590,3,,29067120.0,Propagation-2
9000594,1,,,
9000595,6,,,
9000605,1,,,
9000606,2,,,
9000611,1,,,
9000612,6,,,
9000613,3,,28037030.0,Propagation-1
9000615,1,,,
9000616,1,,,
9000637,1,,,
9000639,2,29067120.0,29067120.0,spatial
9000640,1,,,
9000643,6,,,
9000649,1,,,
9000650,3,,28037030.0,Propagation-4
9000651,2,,29067120.0,Propagation-1
9000652,1,,,
9000655,1,,,
9000656,2,,,
9000657,1,,,
9000658,3,,,
9000667,2,,,
9000673,2,,,
9000675,2,,,
9000678,2,28017050.0,28017050.0,spatial
9000679,3,,28037030.0,Propagation-2
9000687,1,,,
9000688,1,,,
9000690,1,,,
9000692,1,,,
9000693,1,,,
9000694,1,,,
9000695,1,,,
9000700,2,,29067120.0,Propagation-2
9000709,1,,,
9000718,1,,,
9000724,1,,,
9000727,1,,,
9000731,2,,28047010.0,Propagation-1
9000733,6,,29037020.0,Propagation-4
9000735,1,,,
9000739,1,,,
9000743,3,28037030.0,28037030.0,spatial
9000746,2,,,
9000749,1,,,
9000750,1,,,
9000753,3,,28037030.0,Propagation-2
9000754,1,,,
9000765,1,,,
9000766,1,,,
9000769,1,,,
9000770,3,,28037030.0,Propagation-3
9000772,3,,28037030.0,Propagation-4
9000774,1,,,
9000776,1,,,
9000777,1,,,
9000779,2,,,
9000788,1,,,
9000796,6,,29037020.0,Propagation-3
9000809,1,,,
9000811,3,,,
9000817,2,,,
9000819,1,,,
9000820,2,,,
9000821,1,,,
9000826,2,,,
9000827,6,,29037020.0,Propagation-2
9000828,1,,,
9000840,1,,,
9000841,3,,,
9000847,2,,,
9000855,2,28047010.0,28047010.0,spatial
9000856,1,28047040.0,28047040.0,spatial
9000859,1,,,
9000868,1,,,
9000872,1,,,
9000895,1,,,
9000896,6,29037020.0,29037020.0,spatial
9000909,1,,,
