,COMID,sim_fdc_cluster,sim_ma_cluster
0,9000266,0,12
1,9000296,3,4
2,9000297,7,15
3,9000300,6,7
4,9000313,8,4
5,9000315,14,0
6,9000327,1,15
7,9000334,10,9
8,9000338,14,7
9,9000345,12,4
10,9000348,13,13
11,9000359,11,10
12,9000364,9,1
13,9000365,0,3
14,9000390,1,1
15,9000391,1,5
16,9000394,7,15
17,9000395,3,9
18,9000396,8,15
19,9000399,15,12
20,9000425,8,15
21,9000433,0,6
22,9000435,12,2
23,9000438,0,5
24,9000464,9,8
25,9000469,12,2
26,9000477,15,5
27,9000480,12,9
28,9000487,0,4
29,9000488,5,11
30,9000490,0,12
31,9000506,1,2
32,9000508,3,4
33,9000526,0,12
34,9000530,10,2
35,9000533,12,2
36,9000534,6,3
37,9000535,12,2
38,9000536,0,2
39,9000543,5,5
40,9000544,12,2
41,9000545,2,11
42,9000556,0,5
43,9000590,11,5
44,9000595,6,0
45,9000606,15,4
46,9000612,14,9
47,9000613,11,11
48,9000639,12,2
49,9000643,11,7
50,9000650,4,2
51,9000651,14,7
52,9000656,1,6
53,9000658,14,5
54,9000667,11,5
55,9000673,9,8
56,9000675,14,0
57,9000678,12,2
58,9000679,6,6
59,9000700,9,15
60,9000731,1,9
61,9000733,10,2
62,9000743,0,6
63,9000746,10,2
64,9000753,3,4
65,9000770,1,13
66,9000772,11,7
67,9000779,8,6
68,9000796,9,7
69,9000811,11,7
70,9000817,1,5
71,9000820,14,0
72,9000826,1,1
73,9000827,13,13
74,9000841,7,15
75,9000847,14,3
76,9000855,4,14
77,9000896,12,2
78,9000911,14,11
79,9000948,12,9
80,9000949,9,4
81,9000960,11,10
82,9000964,1,1
83,9000975,4,2
84,9000999,5,5
85,9001009,8,1
86,9001011,11,5
87,9001039,14,9
88,9001046,3,4
89,9001047,3,9
90,9001055,0,3
91,9001064,4,7
92,9001089,2,11
93,9001124,9,3
94,9001129,11,9
95,9001133,10,2
96,9001140,1,15
97,9001146,9,9
98,9001154,0,2
99,9001155,0,6
100,9001182,14,6
101,9001183,14,9
102,9001186,12,9
103,9001199,2,6
104,9001202,0,3
105,9001206,1,11
106,9001208,5,0
107,9001209,11,3
108,9001210,10,9
109,9001214,10,2
110,9001219,0,2
111,9001222,9,8
112,9001223,11,5
113,9001242,11,9
114,9001243,2,1
115,9001245,0,6
116,9001246,15,4
117,9001281,9,13
118,9001287,11,13
119,9001331,6,5
120,9001336,0,0
121,9001353,4,7
122,9001370,5,8
123,9001383,0,11
124,9001388,2,11
125,9001390,5,14
126,9001396,4,9
127,9001418,14,13
128,9001419,0,4
129,9001434,0,4
130,9001457,12,2
131,9001458,7,15
132,9001460,15,2
133,9001465,2,11
134,9001467,2,1
135,9001474,11,8
136,9001489,9,15
137,9001490,3,9
138,9001494,9,13
139,9001503,2,1
140,9001504,14,7
141,9001525,6,3
142,9001539,11,5
143,9001556,11,13
144,9001569,15,3
145,9001602,0,3
146,9001610,8,1
147,9001618,3,4
148,9001619,11,7
149,9001632,11,3
150,9001643,0,4
151,9001694,8,5
152,9001696,10,6
153,9001697,3,4
154,9001706,3,4
155,9001729,4,0
156,9001738,13,8
157,9001741,4,14
158,9001742,12,9
159,9001748,4,3
160,9001754,0,3
161,9001755,5,7
162,9001766,6,0
163,9001784,4,5
164,9001789,11,5
165,9001791,12,9
166,9001804,12,9
167,9001831,8,13
168,9001850,5,15
169,9001877,0,6
170,9001890,11,2
171,9001893,1,15
172,9001902,0,4
173,9001915,3,4
174,9001924,11,11
175,9001926,12,9
176,9001937,3,9
177,9001941,2,1
178,9001942,4,2
179,9001948,9,13
180,9001958,4,7
181,9001959,5,1
182,9001960,4,7
183,9001961,11,9
184,9001967,14,6
185,9001997,6,5
186,9001998,3,9
187,9002055,8,13
188,9002110,0,12
189,9002113,9,13
190,9002119,8,7
191,9002131,0,2
192,9002137,10,13
193,9002152,0,4
194,9002167,0,3
195,9002182,1,15
196,9002185,15,8
197,9002187,9,7
198,9002198,0,4
199,9002203,15,5
200,9002206,12,2
201,9002207,11,6
202,9002220,5,13
203,9002238,5,5
204,9002244,0,3
205,9002255,6,6
206,9002285,8,1
207,9002292,1,15
208,9002304,14,0
209,9002305,12,2
210,9002321,8,7
211,9002322,7,15
212,9002324,0,12
213,9002359,4,6
214,9002363,11,7
215,9002375,11,7
216,9002376,12,2
217,9002378,0,3
218,9002405,8,1
219,9002407,9,13
220,9002415,11,3
221,9002440,14,11
222,9002444,12,4
223,9002477,6,4
224,9002495,12,2
225,9002496,0,5
226,9002518,2,11
227,9002521,2,11
228,9002527,6,5
229,9002565,7,15
230,9002567,1,5
